Run,Event,Type1,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
147222,42464599,G,8.32325,-3.29719,-1.30274,-7.52972,3.54522,-1.49772,-2.76531,-1,G,6.28461,0.627482,5.84366,2.22333,5.87725,0.369807,1.46383,-1,12.5493
147222,42487391,G,13.9315,-3.35336,5.8635,12.1841,6.75468,1.35228,2.0903,1,G,8.10981,-2.57013,5.17336,5.69111,5.77661,0.870869,2.03188,-1,3.06597
147222,42510575,G,6.74888,2.49071,1.92218,5.96974,3.14618,1.39681,0.65727,-1,G,14.2609,-8.97065,-10.5931,-3.26729,13.8812,-0.233254,-2.27345,1,17.8026
147222,42518655,G,24.2183,2.52543,6.01724,23.3223,6.52572,1.98583,1.17342,-1,T,4.72087,-0.444841,-1.2713,-4.52342,1.34688,-1.92609,-1.90739,1,21.3828
147222,42539879,G,7.28092,-1.49047,-2.86727,6.52364,3.23152,1.45199,-2.05017,1,G,5.31834,1.64851,3.96247,3.13923,4.29171,0.678253,1.17655,-1,8.00911
147222,42548143,G,7.55644,6.21704,0.249858,4.28656,6.22206,0.643573,0.0401676,-1,G,6.62791,-3.47577,5.16896,2.26248,6.2289,0.355676,2.16278,1,11.0194
147222,42560351,G,6.14651,0.886099,2.98151,-5.30037,3.1104,-1.30289,1.28191,1,G,9.53442,2.79429,-5.81264,7.02133,6.44941,0.942709,-1.12269,-1,14.8785
147222,42578175,G,15.1113,0.916585,-3.19774,-14.7402,3.32651,-2.1943,-1.29165,-1,G,9.44734,7.22456,-1.51421,-5.89524,7.38154,-0.731612,-0.206602,-1,9.42458
147222,42605863,G,14.0419,10.2358,4.68042,8.39557,11.2552,0.689889,0.428874,1,T,6.68793,3.82225,3.31799,4.3702,5.06149,0.78143,0.714893,1,2.27101
147222,42624455,G,13.7871,0.971361,-3.79594,-13.2181,3.91825,-1.93037,-1.32028,-1,G,4.72662,0.829356,-4.32714,1.70814,4.40591,0.378584,-1.38143,1,11.8764
147222,42641439,G,29.9375,3.34469,9.2275,28.2827,9.81497,1.78032,1.22306,-1,T,3.68001,0.704467,0.25176,3.60162,0.748103,2.27536,0.343231,-1,2.69769
147222,42665383,G,13.6826,-2.97961,3.55699,-12.8714,4.64007,-1.74444,2.26809,-1,G,19.4944,6.35074,14.7653,-11.0306,16.0731,-0.641386,1.1646,1,13.5033
147222,42946359,G,47.0354,9.84907,40.8205,-21.1896,41.9919,-0.485332,1.33404,1,T,5.37288,-0.827103,-2.64057,4.60434,2.76708,1.28241,-1.87435,1,30.5361
147222,43006511,G,10.8687,1.30186,6.513,8.60256,6.64183,1.07553,1.37351,1,T,5.9422,-0.722042,0.903854,-5.82755,1.15685,-2.31975,2.24483,-1,14.8176
147222,42314448,G,31.886,-27.9086,-8.91206,-12.5853,29.297,-0.417355,-2.8325,-1,G,94.0608,17.7888,91.4712,-12.8064,93.1848,-0.137001,1.37872,1,91.1012
147222,42425336,G,6.86197,3.31772,-5.57653,2.22946,6.48883,0.33716,-1.0341,1,G,56.2182,27.5264,-42.3737,24.6424,50.5295,0.470168,-0.994694,-1,2.53642
147222,42492192,G,31.9386,10.9245,1.0041,-29.9951,10.9706,-1.73085,0.0916547,-1,G,17.0847,7.87195,2.24246,-14.996,8.18512,-1.36592,0.277516,1,3.90299
147222,42553592,G,16.41,4.09953,-1.94408,15.77,4.53713,1.95904,-0.442813,-1,T,3.42199,0.492452,-1.63433,2.96401,1.70691,1.31917,-1.27813,-1,2.90783
147222,42564568,G,24.799,7.70283,-23.2771,3.71816,24.5185,0.151072,-1.25122,1,T,4.77125,0.202009,1.27437,4.59226,1.29029,1.98183,1.41359,-1,16.0852
147222,42596616,G,31.7196,0.493726,9.41553,30.2857,9.42846,1.88348,1.51841,-1,T,7.59833,-1.51192,2.20177,7.11265,2.6709,1.70613,2.17253,1,3.3559
147222,42605744,G,15.1342,-3.88137,-4.3537,13.9647,5.83264,1.60722,-2.2989,1,G,9.36613,-4.86479,3.97652,-6.9451,6.28322,-0.953934,2.45633,1,21.7797
147222,42605304,G,20.2185,-6.0125,-9.40536,16.8572,11.1629,1.20036,-2.13959,1,T,5.19211,1.3688,0.418377,4.98981,1.43131,1.96191,0.296634,1,8.12877
147222,42610456,G,10.937,-1.09787,-3.02233,10.453,3.21556,1.8949,-1.91923,-1,T,5.28178,1.54402,-1.57743,4.79727,2.20732,1.51857,-0.796099,1,3.01973
147222,42658648,G,39.7557,9.74426,-3.94294,38.3407,10.5118,2.00545,-0.384502,1,T,5.01142,1.52907,0.157203,4.76869,1.53713,1.85032,0.10245,1,2.06354
147222,42664888,G,13.0949,4.72449,-11.4686,-4.19714,12.4036,-0.332236,-1.18003,-1,T,4.01332,0.236875,1.59335,3.67433,1.61086,1.56267,1.42321,-1,13.0492
147222,42677088,G,8.59324,-0.744022,-5.69835,-6.3881,5.74671,-0.958133,-1.70063,1,G,5.54455,2.16132,4.42759,2.54087,4.92695,0.495217,1.11667,-1,13.4704
147222,42756520,G,6.56015,-1.24923,4.87778,4.2037,5.03521,0.75966,1.82151,1,G,5.7933,-3.04603,4.65539,1.61252,5.56336,0.285934,2.15019,-1,3.07388
147222,42907872,G,13.1342,-10.7151,3.17174,6.901,11.1746,0.583824,2.8538,1,G,3.79449,-3.67052,0.766221,0.571957,3.74965,0.151951,2.9358,1,2.87804
147222,43002896,G,21.6783,-0.619997,5.744,-20.894,5.77737,-1.99725,1.67832,1,G,12.3916,-5.06054,1.27614,11.2385,5.21897,1.5102,2.89457,-1,31.4003
147222,43053265,G,21.4262,-1.80441,6.37566,-20.3756,6.62608,-1.84192,1.8466,-1,T,4.51033,0.754534,1.18182,-4.28554,1.40215,-1.83614,1.00258,-1,2.51251
147222,43166185,G,31.4368,-4.19484,-9.33923,29.7228,10.2381,1.78737,-1.99295,-1,T,13.0964,0.209637,-2.71722,12.8093,2.72529,2.25187,-1.4938,1,3.60438
147222,43177841,G,29.7253,10.1313,-1.60011,-27.8994,10.2568,-1.726,-0.156644,-1,T,4.66581,1.2281,1.16674,-4.34616,1.69397,-1.67135,0.759781,1,3.70756
147222,43184257,G,10.1539,-2.14513,-2.54867,-9.59127,3.33126,-1.77953,-2.27043,1,T,3.7581,0.847236,-0.634539,3.6044,1.05851,1.93933,-0.64283,1,12.0782
147222,43188313,G,26.2693,-10.714,7.9349,-22.6343,13.3324,-1.29965,2.50413,-1,T,7.67524,-1.86955,3.17202,-6.73359,3.68198,-1.36434,2.10337,1,2.83696
147222,43242001,G,16.8148,5.34515,-1.50477,-15.8711,5.55293,-1.77261,-0.274418,-1,T,3.86307,1.16819,-1.56567,-3.33109,1.95346,-1.30347,-0.929776,-1,2.64567
147222,43254953,G,13.0734,6.06522,-1.22984,11.5154,6.18865,1.37956,-0.200057,1,G,15.4351,7.17144,-4.38075,12.9465,8.40361,1.21707,-0.548367,-1,2.76894
147222,43293121,G,11.9833,-3.69402,1.00956,-11.3544,3.82949,-1.80732,2.87481,1,G,24.4215,-10.3385,-1.13855,-22.0956,10.401,-1.49791,-3.03191,-1,3.07781
147222,43296353,G,19.7449,-2.84913,-2.3672,-19.3941,3.70421,-2.35764,-2.44832,1,G,11.0664,4.37762,0.311762,-10.1585,4.38871,-1.57612,0.0710971,-1,8.33234
147222,43304049,G,32.137,-0.16297,6.29355,31.5141,6.29566,2.31355,1.59669,1,T,3.63571,-1.14015,0.77255,3.3631,1.37723,1.62544,2.54607,1,3.41141
